,ags2,ags5,kreis,median_income,purchasing_power_per_household,purchasing_power_per_person,debtor_quota,household_in_income_calss_1,household_in_income_calss_2,household_in_income_calss_3,household_in_income_calss_4,household_in_income_calss_5,household_in_income_calss_6
130,06,06531,Gießen,3237,42414,21196,8.9,10002,23652,46695,26566,14896,12513
131,06,06532,Lahn-Dill,3300,48718,23711,9.5,9653,20228,39684,23929,15910,14052
132,06,06533,Limburg-Weilburg,2982,44940,22397,11.0,8152,16007,28118,14886,9650,8918
133,06,06534,Marburg-Biedenkopf,3331,43974,21389,8.0,8502,23281,40550,22841,14137,10615
134,06,06535,Vogelsberg,2954,48925,23142,9.3,4235,9297,18763,8206,5250,4299
135,06,06611,Kreisfreie Stadt Kassel,3397,35106,19288,15.7,18486,30102,32011,15278,8037,6790
136,06,06631,Fulda,2947,47707,23150,7.7,7820,16291,35587,21929,14206,12136
137,06,06632,Hersfeld-Rotenburg,2848,44788,21707,9.4,6248,12527,21898,8636,5245,3983
138,06,06633,Kassel,3474,46530,22652,9.3,8396,22604,38237,20167,13733,11998
139,06,06634,Schwalm-Eder,3013,45922,22050,10.0,6194,18836,32221,13769,8237,7228
140,06,06635,Waldeck-Frankenberg,3071,45120,22224,9.9,10215,16121,25422,11129,7497,6873
141,06,06636,Werra-Meißner,2821,40712,20723,11.4,8151,12035,18983,5989,3576,2658
142,07,07111,Stadt Koblenz,3354,41571,21617,12.6,5092,11316,19645,10701,7220,5299
143,07,07131,Ahrweiler,2928,50720,24162,8.6,4661,9636,18636,11767,8539,8523
144,07,07132,Altenkirchen (Ww),3059,46199,21939,11.5,5307,12525,21372,9697,6531,5650
145,07,07133,Bad Kreuznach,3141,46993,22669,9.9,7316,14369,23557,12905,9452,8624
146,07,07134,Birkenfeld,2858,43095,22086,10.8,8073,8405,12714,5040,3706,3407
147,07,07135,Cochem-Zell,2876,50234,23372,8.2,2606,5431,9265,4545,3509,3286
148,07,07137,Mayen-Koblenz,2978,48414,22586,10.0,6282,18063,32295,18231,12537,12516
149,07,07138,Neuwied,3114,49706,23442,10.9,7073,14766,26490,15316,11006,11110
