ags5,kreis,total area,Residential area percentage,industrial / commertial area percentage,dump area percentage,mining area percentage,"open pit, mine, quarry area percentage",mixed use area percentage,special functional character land percentage,"sport, leisure, recreation area percentage",cemetry area percentage,road area percentage,space area percentage,rail traffic area percentage,air traffic area percentage,shipping area percentage,agri area percentage,forrest area percentage,wood area percentage,health area percentage,moor area percentage,swamp area percentage,without vegetation area percentage,flowing water percentage,harbor basin percentage,standing water percentage,sea percentage
12067,Oder-Spree,2256.8,3.29,1.59,0.01,0.0,0.05,1.07,0.29,0.92,0.07,0.12,0.04,0.1,0.03,0.01,36.54,50.33,0.48,0.22,0.12,0.37,1.2,0.56,0.0,2.61,0.0
12068,Ostprignitz-Ruppin,2526.6,1.9,1.11,0.0,0.0,0.04,0.88,0.14,0.57,0.06,0.09,0.03,0.05,0.08,0.0,54.49,34.13,1.09,1.84,0.01,0.38,0.77,0.08,0.0,2.27,0.0
12069,Potsdam-Mittelmark,2592.1,2.74,1.42,0.0,0.0,0.1,1.86,0.26,0.77,0.12,0.19,0.05,0.09,0.06,0.0,44.98,42.27,1.18,0.69,0.0,0.7,0.56,0.47,0.0,1.5,0.0
12070,Prignitz,2138.6,2.07,1.05,0.0,0.0,0.08,1.02,0.09,0.41,0.07,0.07,0.02,0.07,0.06,0.0,67.39,24.57,0.6,0.32,0.0,0.19,0.87,0.7,0.0,0.37,0.0
12071,Spree-Neiße,1657.0,2.01,2.13,0.0,0.0,2.49,3.14,0.11,0.82,0.09,0.12,0.04,0.16,0.18,0.0,33.63,46.46,1.74,1.18,0.02,0.19,3.37,0.13,0.0,1.98,0.0
12072,Teltow-Fläming,2104.2,2.11,1.62,0.01,0.0,0.05,1.96,0.64,0.67,0.07,0.14,0.03,0.1,0.32,0.0,45.64,40.49,1.83,2.43,0.0,0.39,0.52,0.01,0.0,0.96,0.0
12073,Uckermark,3077.0,1.87,1.24,0.02,0.0,0.06,0.91,0.09,0.51,0.06,0.06,0.03,0.06,0.0,0.01,60.39,25.02,1.38,0.42,0.16,1.1,2.49,0.33,0.0,3.77,0.0
13003,"Rostock, Hansestadt",181.4,8.73,7.98,0.02,0.0,0.0,4.22,2.55,8.22,0.42,0.95,1.11,0.51,0.02,1.66,19.4,28.23,2.9,0.05,2.09,1.77,1.83,0.13,0.84,0.44,5.96
13004,"Schwerin, Landeshauptstadt",130.5,6.47,5.6,0.0,0.0,0.0,4.87,1.51,5.2,0.45,0.9,0.51,0.14,0.0,0.02,19.31,19.57,1.92,4.35,0.07,1.17,0.07,0.08,0.0,27.79,0.0
13071,Mecklenburgische Seenplatte,5495.6,0.44,1.07,0.0,0.0,0.11,2.0,0.15,0.78,0.06,0.05,0.04,0.02,0.07,0.0,58.22,26.22,0.62,0.13,0.39,1.75,0.11,0.09,0.0,7.67,0.0
13072,Landkreis Rostock,3431.3,0.48,1.2,0.0,0.0,0.12,2.94,0.19,0.77,0.05,0.11,0.06,0.03,0.26,0.0,71.03,18.12,0.65,0.12,0.31,1.12,0.1,0.09,0.0,2.23,0.01
13073,Vorpommern-Rügen,3215.0,0.58,1.18,0.0,0.0,0.05,3.19,0.17,0.95,0.07,0.1,0.08,0.03,0.06,0.05,68.0,18.73,0.86,0.21,0.4,2.39,0.45,0.07,0.01,0.73,1.65
13074,Nordwestmecklenburg,2127.1,0.6,1.31,0.0,0.0,0.34,3.32,0.12,0.76,0.05,0.13,0.08,0.02,0.01,0.04,73.27,14.02,0.72,0.05,0.53,1.03,0.11,0.01,0.01,3.43,0.03
13075,Vorpommern-Greifswald,3945.6,0.53,1.1,0.0,0.0,0.08,2.74,0.19,0.72,0.07,0.06,0.06,0.02,0.15,0.02,61.62,22.73,0.5,0.56,1.4,1.7,0.17,0.22,0.01,1.33,4.01
13076,Ludwigslust-Parchim,4766.8,0.33,1.08,0.0,0.0,0.16,2.58,0.09,0.51,0.05,0.09,0.04,0.02,0.11,0.0,61.61,28.84,0.26,0.56,0.18,0.78,0.06,0.2,0.0,2.44,0.0
14521,Erzgebirgskreis,1827.9,5.28,1.79,0.03,0.0,0.08,3.34,0.2,1.19,0.08,0.1,0.07,0.08,0.05,0.0,38.04,47.75,0.7,0.02,0.01,0.09,0.36,0.12,0.0,0.6,0.0
14522,Mittelsachsen,2116.9,4.44,2.03,0.0,0.0,0.21,3.78,0.18,0.97,0.08,0.18,0.06,0.11,0.0,0.0,68.13,18.09,0.63,0.01,0.0,0.01,0.33,0.35,0.0,0.42,0.0
14523,Vogtlandkreis,1412.4,5.08,1.96,0.0,0.01,0.07,3.16,0.18,1.39,0.1,0.19,0.1,0.14,0.02,0.0,43.61,42.04,0.65,0.14,0.02,0.0,0.26,0.04,0.0,0.85,0.0
14524,Zwickau,949.8,8.75,3.64,0.05,0.0,0.2,4.21,0.33,2.21,0.16,0.59,0.17,0.23,0.08,0.0,57.96,19.31,0.7,0.1,0.0,0.0,0.55,0.2,0.0,0.56,0.0
14612,Dresden,328.5,18.35,6.92,0.02,0.0,0.13,5.59,2.24,5.46,0.51,1.08,0.6,0.75,0.69,0.09,28.13,24.3,1.58,0.0,0.0,0.0,1.75,1.22,0.04,0.55,0.0
14625,Bautzen,2395.6,4.33,1.93,0.01,0.0,0.28,2.17,0.2,0.86,0.07,0.18,0.06,0.1,0.15,0.0,44.34,36.82,1.46,0.89,0.0,0.4,1.11,0.04,0.0,4.6,0.0
14626,Görlitz,2111.4,4.11,1.78,0.09,0.0,1.32,2.74,0.24,1.07,0.09,0.19,0.06,0.12,0.09,0.0,43.93,35.41,1.62,1.85,0.0,0.25,1.95,0.11,0.0,2.98,0.0
14627,Meißen,1454.6,4.4,2.42,0.02,0.0,0.19,3.23,0.24,1.22,0.07,0.23,0.08,0.17,0.19,0.02,67.68,15.93,1.06,0.55,0.0,0.11,0.59,0.53,0.01,1.05,0.0
14628,Sächsische Schweiz-Osterzgebirge,1654.2,4.26,1.41,0.03,0.0,0.13,2.92,0.2,1.24,0.05,0.2,0.07,0.1,0.03,0.0,49.09,38.58,0.56,0.0,0.01,0.0,0.4,0.3,0.0,0.41,0.0
14713,Leipzig,297.8,17.71,9.61,0.0,0.0,0.11,6.25,2.08,10.23,0.63,1.77,1.05,1.74,0.0,0.01,31.62,8.59,2.51,0.23,0.0,0.02,2.95,0.53,0.0,2.36,0.0
14729,Leipzig,1651.3,4.46,2.63,0.06,0.0,1.27,2.9,0.15,1.35,0.07,0.38,0.08,0.14,0.01,0.0,62.01,16.8,1.78,0.25,0.0,0.12,1.71,0.28,0.0,3.54,0.0
14730,Nordsachsen,2028.5,2.88,1.93,0.0,0.0,0.14,2.05,0.18,0.93,0.06,0.2,0.05,0.11,0.7,0.0,64.4,21.9,1.14,0.12,0.12,0.11,0.94,0.45,0.0,1.59,0.0
15001,Dessau-Roßlau,244.8,0.9,3.67,0.01,0.0,0.07,7.74,0.7,3.17,0.27,0.27,0.27,0.28,0.27,0.01,36.11,36.76,4.79,0.48,0.0,0.35,1.13,1.92,0.04,0.79,0.0
15002,Halle (Saale),135.0,15.32,8.53,0.0,0.0,0.06,6.95,2.87,9.16,0.74,1.13,0.91,1.66,0.0,0.21,26.31,13.02,5.79,0.0,0.0,0.01,4.23,1.35,0.05,1.7,0.0
15003,Magdeburg,201.0,10.76,8.82,0.15,0.0,0.3,7.93,2.01,9.05,0.73,1.44,0.73,1.14,0.37,0.31,38.97,5.51,3.53,0.0,0.0,0.17,2.54,3.24,0.12,2.16,0.0
15081,Altmarkkreis Salzwedel,2293.3,0.03,1.08,0.0,0.0,0.07,2.7,0.12,0.5,0.07,0.04,0.01,0.07,0.03,0.0,61.77,29.87,0.73,1.72,0.0,0.04,0.82,0.01,0.0,0.32,0.0
15082,Anhalt-Bitterfeld,1454.3,0.28,2.75,0.01,0.0,0.31,4.59,0.15,1.2,0.11,0.14,0.11,0.14,0.07,0.01,62.64,19.87,3.15,0.01,0.0,0.34,1.06,0.41,0.01,2.65,0.0
15083,Börde,2366.9,0.68,1.68,0.11,0.04,0.55,3.14,0.17,0.8,0.09,0.26,0.05,0.1,0.01,0.0,68.37,19.56,1.11,1.94,0.0,0.03,0.62,0.33,0.0,0.35,0.0
15084,Burgenlandkreis,1413.7,1.07,2.19,0.01,0.0,2.0,4.34,0.22,1.26,0.1,0.17,0.09,0.19,0.07,0.0,72.33,12.6,1.87,0.01,0.0,0.0,0.77,0.32,0.0,0.38,0.0
15085,Harz,2104.6,0.93,1.57,0.07,0.0,0.39,3.3,0.17,0.96,0.1,0.15,0.04,0.09,0.03,0.0,53.63,36.35,1.1,0.0,0.01,0.02,0.47,0.06,0.0,0.55,0.0
15086,Jerichower Land,1576.9,0.04,1.4,0.02,0.0,0.2,3.12,0.25,0.69,0.06,0.1,0.03,0.07,0.05,0.0,56.51,31.74,1.27,0.11,0.0,0.14,2.81,0.81,0.0,0.6,0.0
15087,Mansfeld-Südharz,1448.9,0.66,1.81,0.23,0.0,0.3,3.82,0.16,1.12,0.09,0.17,0.05,0.1,0.04,0.0,60.31,27.88,1.66,0.0,0.0,0.03,0.72,0.03,0.0,0.81,0.0
15088,Saalekreis,1433.7,1.43,3.51,0.03,0.0,0.65,4.03,0.2,1.2,0.09,0.31,0.11,0.27,0.1,0.0,73.98,6.96,2.74,0.02,0.0,0.09,1.54,0.27,0.0,2.48,0.0
15089,Salzlandkreis,1427.1,0.81,2.94,0.27,0.0,0.62,4.5,0.26,1.46,0.14,0.31,0.08,0.15,0.19,0.0,77.33,5.12,2.22,0.0,0.0,0.16,1.2,0.8,0.01,1.42,0.0
15090,Stendal,2423.3,0.06,1.22,0.01,0.0,0.1,2.79,0.18,0.57,0.06,0.09,0.02,0.15,0.06,0.0,66.95,21.8,0.87,1.15,0.01,0.34,1.72,1.24,0.0,0.6,0.0
15091,Wittenberg,1930.5,0.35,1.46,0.0,0.0,0.13,3.53,0.11,0.68,0.06,0.09,0.05,0.07,0.05,0.0,48.4,38.93,1.95,0.8,0.0,0.14,1.25,0.75,0.01,1.18,0.0
16051,Erfurt,269.9,4.99,5.79,0.0,0.0,0.77,7.51,1.18,4.34,0.27,1.09,0.42,0.78,0.86,0.0,60.06,8.5,1.41,0.0,0.0,0.03,0.52,0.16,0.0,1.31,0.0
16052,Gera,152.2,5.38,4.11,0.01,0.0,0.21,8.91,1.23,4.12,0.2,0.43,0.14,0.51,0.24,0.0,54.34,19.13,0.25,0.0,0.0,0.0,0.33,0.24,0.0,0.21,0.0
16053,Jena,114.8,9.22,3.69,0.0,0.0,0.0,5.36,1.58,6.1,0.23,0.71,0.1,0.46,0.0,0.0,34.22,36.51,0.9,0.0,0.0,0.0,0.31,0.55,0.0,0.05,0.0
16054,Suhl,103.0,3.36,2.87,0.0,0.0,0.0,6.11,0.84,5.58,0.1,0.44,0.08,0.11,0.33,0.0,11.28,68.56,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0
16055,Weimar,84.5,6.8,3.51,0.0,0.0,0.06,6.66,1.75,6.61,0.46,0.44,0.47,0.47,0.04,0.0,42.99,22.71,1.36,0.0,0.0,0.01,5.44,0.12,0.0,0.13,0.0
16056,Eisenach,104.2,3.97,3.56,0.0,0.0,0.06,5.12,0.59,2.44,0.14,0.86,0.12,0.61,0.0,0.0,41.69,38.7,0.88,0.01,0.0,0.0,0.87,0.23,0.0,0.14,0.0
16061,Eichsfeld,943.1,0.88,1.52,0.08,0.0,0.14,3.43,0.18,0.67,0.08,0.42,0.03,0.12,0.01,0.0,58.32,32.09,0.85,0.0,0.0,0.01,1.08,0.01,0.0,0.09,0.0
16062,Nordhausen,713.9,1.62,1.9,0.16,0.11,0.39,2.84,0.33,1.2,0.1,0.4,0.04,0.22,0.05,0.0,56.53,30.99,1.13,0.0,0.0,0.01,1.21,0.01,0.0,0.77,0.0
16063,Wartburgkreis,1307.5,1.44,1.42,0.05,0.04,0.19,2.95,0.19,0.89,0.06,0.12,0.04,0.09,0.03,0.0,50.26,39.37,0.98,0.08,0.0,0.01,1.25,0.26,0.0,0.27,0.0
16064,Unstrut-Hainich-Kreis,979.7,1.66,1.72,0.06,0.01,0.22,2.42,0.18,0.93,0.06,0.06,0.03,0.09,0.12,0.0,70.34,19.74,0.78,0.0,0.0,0.04,1.29,0.03,0.0,0.22,0.0
16065,Kyffhäuserkreis,1037.9,0.99,1.32,0.13,0.02,0.19,2.26,0.2,0.87,0.06,0.16,0.04,0.12,0.03,0.0,67.42,24.46,0.61,0.12,0.01,0.06,0.6,0.09,0.0,0.24,0.0
16066,Schmalkalden-Meiningen,1210.7,1.19,1.39,0.02,0.01,0.15,3.28,0.19,0.87,0.06,0.15,0.04,0.1,0.01,0.0,40.61,50.57,0.76,0.05,0.0,0.0,0.26,0.1,0.0,0.18,0.0
16067,Gotha,936.1,1.3,2.19,0.01,0.0,0.3,3.77,0.35,1.36,0.08,0.14,0.06,0.18,0.07,0.0,59.24,29.1,0.73,0.16,0.01,0.02,0.33,0.0,0.0,0.59,0.0
16068,Sömmerda,806.9,0.84,1.57,0.0,0.0,0.25,2.69,0.1,0.82,0.06,0.15,0.05,0.21,0.06,0.0,82.89,8.44,0.56,0.0,0.0,0.07,0.37,0.1,0.0,0.77,0.0
16069,Hildburghausen,938.4,0.52,1.25,0.0,0.0,0.13,3.01,0.12,0.51,0.04,0.16,0.02,0.06,0.0,0.0,44.66,48.17,0.87,0.0,0.0,0.01,0.07,0.04,0.0,0.37,0.0
16070,Ilm-Kreis,843.7,0.33,1.69,0.07,0.01,0.19,4.48,0.22,1.01,0.07,0.36,0.06,0.12,0.07,0.0,44.99,45.21,0.59,0.01,0.01,0.0,0.14,0.02,0.0,0.34,0.0
16071,Weimarer Land,804.5,1.07,1.66,0.02,0.0,0.13,3.49,0.15,1.04,0.07,0.21,0.06,0.15,0.05,0.0,72.01,17.84,0.72,0.0,0.0,0.01,0.99,0.07,0.0,0.24,0.0
16072,Sonneberg,433.6,0.77,1.41,0.01,0.0,0.15,4.65,0.21,0.84,0.08,0.05,0.03,0.13,0.0,0.0,27.93,62.21,0.88,0.01,0.0,0.01,0.13,0.02,0.0,0.48,0.0
16073,Saalfeld-Rudolstadt,1036.0,0.67,1.36,0.08,0.0,0.2,3.62,0.16,1.1,0.06,0.11,0.03,0.22,0.0,0.0,34.72,55.65,0.7,0.0,0.0,0.0,0.39,0.21,0.0,0.73,0.0
16074,Saale-Holzland-Kreis,815.3,1.07,1.62,0.0,0.0,0.27,3.6,0.17,1.0,0.06,0.24,0.06,0.08,0.08,0.0,52.39,38.22,0.49,0.0,0.0,0.05,0.22,0.2,0.0,0.19,0.0
16075,Saale-Orla-Kreis,1151.3,0.56,1.41,0.0,0.0,0.23,3.1,0.11,0.62,0.04,0.33,0.03,0.1,0.03,0.0,48.78,41.8,0.3,0.0,0.01,0.01,0.45,0.12,0.0,1.98,0.0
16076,Greiz,846.0,1.07,1.97,0.02,0.0,0.32,5.06,0.15,1.43,0.07,0.1,0.02,0.14,0.02,0.0,60.73,27.02,0.3,0.0,0.0,0.02,0.43,0.15,0.0,0.96,0.0
16077,Altenburger Land,569.4,2.08,2.48,0.01,0.0,0.65,4.52,0.26,1.39,0.1,0.23,0.1,0.24,0.32,0.0,73.41,11.73,0.68,0.0,0.0,0.34,0.41,0.08,0.0,0.97,0.0
