ags5,kreis,total area,Residential area percentage,industrial / commertial area percentage,dump area percentage,mining area percentage,"open pit, mine, quarry area percentage",mixed use area percentage,special functional character land percentage,"sport, leisure, recreation area percentage",cemetry area percentage,road area percentage,space area percentage,rail traffic area percentage,air traffic area percentage,shipping area percentage,agri area percentage,forrest area percentage,wood area percentage,health area percentage,moor area percentage,swamp area percentage,without vegetation area percentage,flowing water percentage,harbor basin percentage,standing water percentage,sea percentage
3451,Ammerland,730.6,5.8,2.15,0.0,0.0,0.53,4.55,0.32,1.17,0.05,0.53,0.11,0.06,0.04,0.0,70.74,9.83,0.67,0.0,1.09,0.0,0.78,0.14,0.01,1.44,0.0
3452,Aurich,1287.3,5.79,1.16,0.01,0.0,0.49,3.57,0.33,0.67,0.07,0.44,0.08,0.03,0.12,0.03,76.54,3.44,0.71,0.03,1.13,0.0,3.87,0.56,0.04,0.88,0.02
3453,Cloppenburg,1420.4,3.32,2.3,0.01,0.0,2.43,4.01,0.35,0.49,0.05,0.41,0.07,0.03,0.02,0.0,70.49,12.4,0.4,0.07,1.87,0.0,0.59,0.17,0.0,0.52,0.0
3454,Emsland,2883.7,3.25,2.1,0.02,0.0,1.5,3.01,0.35,0.71,0.06,0.49,0.1,0.04,0.02,0.01,63.98,18.05,0.66,0.3,2.76,0.0,1.41,0.56,0.03,0.6,0.0
3455,Friesland,609.5,6.07,1.45,0.04,0.0,0.09,3.21,1.22,0.85,0.05,0.52,0.2,0.1,0.2,0.0,75.13,6.49,0.51,0.01,0.9,0.0,1.49,0.45,0.02,1.02,0.01
3456,Grafschaft Bentheim,981.8,3.73,2.14,0.0,0.0,1.42,3.21,0.24,0.8,0.07,0.61,0.1,0.06,0.06,0.0,67.64,15.54,0.52,0.94,1.15,0.0,0.86,0.25,0.0,0.63,0.0
3457,Leer,1085.7,6.01,1.28,0.02,0.0,0.14,3.37,0.62,0.48,0.06,0.75,0.06,0.07,0.09,0.0,74.95,1.75,0.97,0.0,2.04,0.0,2.97,3.43,0.07,0.86,0.0
3458,Oldenburg,1064.8,4.24,1.7,0.01,0.0,0.32,3.41,0.27,0.94,0.04,0.34,0.08,0.05,0.11,0.0,66.74,18.82,0.43,0.23,0.82,0.0,0.77,0.18,0.0,0.53,0.0
3459,Osnabrück,2121.8,4.36,1.68,0.0,0.0,0.37,3.55,0.28,0.71,0.08,0.35,0.07,0.08,0.05,0.0,65.45,20.76,0.45,0.02,0.46,0.0,0.64,0.16,0.0,0.47,0.0
3460,Vechta,814.2,4.29,2.86,0.0,0.0,1.81,4.71,0.35,0.85,0.06,0.29,0.15,0.03,0.03,0.0,68.22,12.97,0.4,0.01,1.71,0.0,0.85,0.01,0.0,0.41,0.0
3461,Wesermarsch,824.8,3.71,1.58,0.01,0.0,0.28,3.72,0.19,0.62,0.04,0.35,0.04,0.08,0.02,0.03,81.79,1.12,0.45,0.0,0.63,0.0,2.14,2.63,0.03,0.52,0.0
3462,Wittmund,656.8,3.35,0.77,0.0,0.0,0.11,3.49,0.24,0.4,0.05,0.17,0.06,0.02,0.33,0.01,78.91,5.64,0.56,0.04,0.91,0.0,3.93,0.26,0.07,0.71,0.01
4011,Bremen,317.9,21.71,12.57,0.0,0.0,0.01,3.99,2.76,8.74,0.78,2.06,0.63,1.0,0.76,1.86,29.4,1.76,1.92,0.04,0.05,0.0,3.39,3.93,1.17,1.48,0.0
4012,Bremerhaven,101.5,18.76,10.58,0.0,0.0,0.0,3.11,2.35,7.15,0.72,1.82,0.76,1.37,0.0,1.08,20.65,3.75,1.48,0.01,0.51,0.0,6.63,17.03,1.57,0.65,0.0
