ags5,kreis,municipal dept per capita,municipal tax per capita,municipal tax per capita
9761,Augsburg,1391.4,942.1,95.3
9762,Kaufbeuren,591.0,807.7,55.5
9763,Kempten (Allgäu),37.5,1022.8,93.1
9764,Memmingen,579.0,1270.8,104.3
9771,Aichach-Friedberg,565.5,958.8,42.1
9772,Augsburg,627.3,997.5,44.1
9773,Dillingen a.d.Donau,1123.2,1029.0,53.6
9774,Günzburg,559.8,862.5,60.0
9775,Neu-Ulm,581.7,1081.5,60.9
9776,Lindau (Bodensee),971.3,1007.5,58.9
9777,Ostallgäu,1240.6,992.6,50.1
9778,Unterallgäu,709.7,1034.0,48.4
9779,Donau-Ries,577.2,1106.0,70.6
9780,Oberallgäu,1377.9,895.6,49.5
10041,Regionalverband Saarbrücken,4956.6,751.6,93.7
10042,Landkreis Merzig-Wadern,2478.4,573.6,49.9
10043,Landkreis Neunkirchen,2544.8,589.5,51.9
10044,Landkreis Saarlouis,2453.2,676.2,73.7
10045,Saarpfalz-Kreis,3746.1,821.7,84.4
10046,Landkreis St. Wendel,3107.3,649.6,52.0
11000,Berlin,0.0,833.2,65.0
12051,Brandenburg an der Havel,2276.1,584.3,65.7
12052,Cottbus,2711.0,666.3,82.4
12053,Frankfurt (Oder),2208.2,597.5,77.9
12054,Potsdam,410.0,807.4,79.1
12060,Barnim,232.8,595.7,35.7
12061,Dahme-Spreewald,459.7,1511.4,51.5
12062,Elbe-Elster,537.2,482.6,42.2
12063,Havelland,506.4,608.5,35.9
12064,Märkisch-Oderland,368.0,597.5,33.5
12065,Oberhavel,139.8,837.2,51.0
12066,Oberspreewald-Lausitz,528.6,576.4,60.8
12067,Oder-Spree,1135.6,590.5,44.4
12068,Ostprignitz-Ruppin,824.3,587.5,46.8
12069,Potsdam-Mittelmark,423.7,703.8,39.9
12070,Prignitz,410.1,554.4,44.4
12071,Spree-Neiße,1229.6,573.3,59.6
12072,Teltow-Fläming,800.1,935.6,56.8
12073,Uckermark,704.2,550.8,45.6
13003,"Rostock, Hansestadt",656.7,675.5,74.6
13004,"Schwerin, Landeshauptstadt",2407.6,640.1,88.3
13071,Mecklenburgische Seenplatte,1688.9,549.5,52.2
13072,Landkreis Rostock,1222.6,571.0,39.6
13073,Vorpommern-Rügen,1562.2,531.6,46.4
13074,Nordwestmecklenburg,1590.4,595.5,42.6
13075,Vorpommern-Greifswald,2088.8,480.9,46.3
13076,Ludwigslust-Parchim,1379.6,606.8,40.6
14511,Chemnitz,630.4,632.5,88.1
14521,Erzgebirgskreis,619.5,495.0,51.1
14522,Mittelsachsen,459.4,571.2,60.3
14523,Vogtlandkreis,956.0,532.7,57.6
14524,Zwickau,506.8,578.0,71.8
14612,Dresden,0.0,754.4,81.9
14625,Bautzen,558.3,582.9,61.0
14626,Görlitz,921.8,478.5,55.0
14627,Meißen,666.6,622.4,61.4
14628,Sächsische Schweiz-Osterzgebirge,626.6,536.1,49.3
14713,Leipzig,996.9,635.5,79.8
14729,Leipzig,707.4,598.1,53.6
14730,Nordsachsen,1242.0,569.6,58.5
15001,Dessau-Roßlau,205.0,539.6,72.9
15002,Halle (Saale),1761.0,487.6,69.7
15003,Magdeburg,476.5,638.7,85.0
15081,Altmarkkreis Salzwedel,930.7,530.8,48.2
15082,Anhalt-Bitterfeld,1675.7,597.6,58.1
15083,Börde,678.4,645.7,56.8
15084,Burgenlandkreis,1038.0,770.4,50.8
15085,Harz,1635.6,527.7,54.1
15086,Jerichower Land,1135.8,542.4,46.7
15087,Mansfeld-Südharz,2032.6,421.7,42.4
15088,Saalekreis,1034.4,865.7,61.6
15089,Salzlandkreis,1941.3,523.8,51.1
15090,Stendal,1286.9,471.7,46.5
15091,Wittenberg,1634.1,533.3,52.5
16051,Erfurt,587.7,665.6,87.6
16052,Gera,1458.4,516.1,70.7
16053,Jena,181.8,732.0,74.6
16054,Suhl,462.9,625.6,83.9
16055,Weimar,1140.4,536.9,53.8
16056,Eisenach,571.1,602.1,92.0
16061,Eichsfeld,636.7,524.5,46.7
16062,Nordhausen,1018.9,495.8,56.1
16063,Wartburgkreis,506.5,622.7,48.9
16064,Unstrut-Hainich-Kreis,947.4,508.1,45.9
16065,Kyffhäuserkreis,1618.2,469.9,38.8
16066,Schmalkalden-Meiningen,295.2,555.8,50.6
16067,Gotha,638.8,578.2,55.8
16068,Sömmerda,1427.6,567.5,45.0
16069,Hildburghausen,701.4,581.8,43.0
16070,Ilm-Kreis,821.7,641.6,53.1
16071,Weimarer Land,487.8,577.0,44.3
16072,Sonneberg,1279.8,588.4,54.5
16073,Saalfeld-Rudolstadt,879.9,550.8,56.0
16074,Saale-Holzland-Kreis,542.5,556.5,48.8
16075,Saale-Orla-Kreis,1301.2,578.8,57.6
16076,Greiz,993.8,527.1,43.4
16077,Altenburger Land,1035.8,472.4,45.8
