ags2,ags5,kreis,number_accomodation_establishments,number_of_beds,number_of_guests,guests_staying_overnight
9,9564,Nürnberg,153,18711,2001217,3610613
9,9565,Schwabach,8,516,51187,83983
9,9571,Ansbach,241,8729,728791,1302829
9,9572,Erlangen-Höchstadt,54,2896,179325,454969
9,9573,Fürth,41,1433,118524,224969
9,9574,Nürnberger Land,76,3103,199712,400742
9,9575,Neustadt a.d.Aisch-Bad Windsheim,101,3864,193628,624032
9,9576,Roth,84,2505,196099,363968
9,9577,Weißenburg-Gunzenhausen,129,3639,249428,820213
9,9661,Aschaffenburg,13,1042,100673,196083
9,9662,Schweinfurt,23,1537,123506,233793
9,9663,Würzburg,53,4598,614024,965700
9,9671,Aschaffenburg,98,3768,279724,512994
9,9672,Bad Kissingen,143,10117,435481,2195915
9,9673,Rhön-Grabfeld,104,5139,242601,822811
9,9674,Haßberge,70,1978,116856,228606
9,9675,Kitzingen,126,3987,405882,749093
9,9676,Miltenberg,78,2307,158205,299537
9,9677,Main-Spessart,109,3449,243146,530671
9,9678,Schweinfurt,39,1119,54736,113787
9,9679,Würzburg,91,2992,256840,476700
9,9761,Augsburg,47,4638,478115,855121
9,9762,Kaufbeuren,8,497,49563,89787
9,9763,Kempten (Allgäu),21,1517,187609,326587
9,9764,Memmingen,22,1009,111396,188981
9,9771,Aichach-Friedberg,46,1610,124216,224400
9,9772,Augsburg,62,3037,224591,407590
9,9773,Dillingen a.d.Donau,29,1466,90161,233410
9,9774,Günzburg,86,5359,566168,972677
9,9775,Neu-Ulm,62,3185,290778,495415
9,9776,Lindau (Bodensee),254,10155,567593,2033041
9,9777,Ostallgäu,470,16714,1187008,3470373
9,9778,Unterallgäu,130,6186,310896,1107995
9,9779,Donau-Ries,78,2957,178388,382436
9,9780,Oberallgäu,1099,36233,1559808,6230034
10,10041,Regionalverband Saarbrücken,56,3924,353760,617545
10,10042,Landkreis Merzig-Wadern,64,5668,187756,630651
10,10043,Landkreis Neunkirchen,22,1208,53934,235407
10,10044,Landkreis Saarlouis,48,2915,101990,276095
