ags2,ags5,kreis,number_of_hairdressers,number_of_restaurants,number_of_shops,number_of_companies,number_of_shopping_malls,number_of_clubs,number_of_education_places,number_of_shopping_places,number_of_free_time_places,number_of_tourism_places,number_of_tourism_places,number_of_food_and_drink_places,number_of_public_institution_places,number_of_traffic_places,number_of_health_places,number_of_business_places
06,06534,Marburg-Biedenkopf,291,349,636,14991,1,923,280,1872,338,105,105,390,133,230,1020,2187
06,06535,Vogelsberg,118,165,351,7404,0,369,122,990,248,92,92,201,52,143,403,1161
06,06611,Kreisfreie Stadt Kassel,234,291,624,12777,7,622,220,1466,113,62,62,290,90,210,932,1799
06,06631,Fulda,276,310,657,14528,3,481,302,1926,331,221,221,393,204,258,778,2278
06,06632,Hersfeld-Rotenburg,154,139,387,7251,3,293,114,1022,185,93,93,160,78,147,443,1063
06,06633,Kassel,252,249,593,13176,4,458,208,1791,316,122,122,326,118,245,766,2289
06,06634,Schwalm-Eder,227,218,506,10908,0,466,178,1550,356,109,109,285,91,236,670,1768
06,06635,Waldeck-Frankenberg,191,304,501,10904,0,357,172,1523,304,391,391,405,107,181,639,1694
06,06636,Werra-Meißner,107,145,316,6426,0,255,96,988,227,102,102,207,84,137,429,1018
07,07111,Stadt Koblenz,143,233,403,8207,3,301,114,1004,72,55,55,217,64,105,571,1213
07,07131,Ahrweiler,142,255,321,8567,0,295,100,1117,153,212,212,307,136,150,492,1498
07,07132,Altenkirchen (Ww),153,149,310,7803,0,244,111,1058,91,58,58,162,76,144,430,1371
07,07133,Bad Kreuznach,218,235,379,10079,0,419,140,1441,127,105,105,240,98,164,615,1641
07,07134,Birkenfeld,112,139,231,5816,0,219,69,887,45,59,59,153,46,90,303,944
07,07135,Cochem-Zell,79,178,172,4742,0,137,56,619,50,337,337,252,115,92,208,672
07,07137,Mayen-Koblenz,268,330,577,13397,2,413,153,1736,152,162,162,343,132,222,666,2113
07,07138,Neuwied,223,246,490,11900,0,372,134,1563,132,98,98,266,75,199,686,2028
07,07140,Rhein-Hunsrück-Kreis,127,199,271,6990,0,218,73,890,97,144,144,195,129,121,360,1196
07,07141,Rhein-Lahn-Kreis,148,228,281,7965,0,251,109,1018,77,137,137,265,55,139,462,1198
07,07143,Westerwaldkreis,284,294,542,13934,2,365,169,1767,205,87,87,273,101,242,661,2313
07,07211,Stadt Trier,150,211,391,7113,4,346,116,977,76,62,62,239,44,99,535,959
07,07231,Bernkastel-Wittlich,150,229,286,8272,0,253,111,1068,55,307,307,313,146,121,422,1185
07,07232,Eifelkreis Bitburg-Prüm,112,171,284,6277,0,304,91,771,51,127,127,217,202,108,280,1039
07,07233,Vulkaneifel,71,108,158,4068,0,159,50,529,41,96,96,126,134,83,200,638
07,07235,Trier-Saarburg,177,213,272,8282,0,374,124,1031,102,208,208,256,142,135,448,1339
07,07311,Stadt Frankenthal (Pfalz),54,61,141,2394,2,71,41,369,22,9,9,70,21,44,195,337
07,07312,Stadt Kaiserslautern,118,211,386,6178,3,229,99,892,48,30,30,214,42,110,420,1007
07,07313,Stadt Landau in der Pfalz,62,94,184,3488,0,150,55,467,23,17,17,102,14,61,278,520
07,07314,Stadt Ludwigshafen a. Rh.,170,217,417,7358,3,269,146,1030,48,19,19,215,52,116,588,1261
07,07315,Stadt Mainz,218,326,531,14792,4,800,146,1466,114,40,40,369,90,152,959,1861
07,07316,Stadt Neustadt a.d. W.,79,116,173,3959,2,146,60,526,19,39,39,131,26,59,274,625
