_id,ags2,bundesland,ags5,kreis,kr_ein_md,kr_schu_qu,kr_hh_eink_kl1,kr_hh_eink_kl2,kr_hh_eink_kl3,kr_hh_eink_kl4,kr_hh_eink_kl5,kr_hh_eink_kl6,kr_kk_hh,kr_kk_ew
168,07,Rheinland-Pfalz,07320,Stadt Zweibrücken,3348,12.7,2906,5031,4981,2163,1368,1356,39161,20388
169,07,Rheinland-Pfalz,07331,Alzey-Worms,2848,9.4,2578,8600,16366,11086,8854,9682,52700,23317
170,07,Rheinland-Pfalz,07332,Bad Dürkheim,2947,9.1,3325,8390,17028,12340,9520,13378,55376,26720
171,07,Rheinland-Pfalz,07333,Donnersbergkreis,3393,11.5,2599,6909,10253,5825,4462,4057,48814,22177
172,07,Rheinland-Pfalz,07334,Germersheim,3836,8.8,1115,5858,18677,11855,8670,10296,52848,23133
173,07,Rheinland-Pfalz,07335,Kaiserslautern,2892,10.6,10294,8703,14737,8313,6435,7465,41035,21649
174,07,Rheinland-Pfalz,07336,Kusel,2895,10.7,5293,7260,10585,4931,3446,3141,43170,21220
175,07,Rheinland-Pfalz,07337,Südliche Weinstraße,2986,7.9,2612,6347,13238,10342,7951,9713,54006,24579
176,07,Rheinland-Pfalz,07338,Rhein-Pfalz-Kreis,2851,7.9,1534,6898,19536,13973,11828,16263,58064,26379
177,07,Rheinland-Pfalz,07339,Mainz-Bingen,3333,8.0,2573,9372,26616,20459,15892,22583,58409,27011
178,07,Rheinland-Pfalz,07340,Südwestpfalz,2642,8.3,5324,8238,14174,7522,5683,5421,48596,23693
179,08,Baden-Württemberg,08111,Stuttgart,4351,10.4,8545,27059,81673,69440,56036,71862,52375,25962
180,08,Baden-Württemberg,08115,Böblingen,4596,6.9,2765,13566,50965,39290,31681,44845,54877,25674
181,08,Baden-Württemberg,08116,Esslingen,3740,7.3,6718,21687,71378,56161,43594,57440,53811,25918
182,08,Baden-Württemberg,08117,Göppingen,3428,8.5,5184,16691,37426,24677,17704,20342,51996,24677
183,08,Baden-Württemberg,08118,Ludwigsburg,3676,7.7,4173,17813,71628,58545,45882,59639,55754,26422
184,08,Baden-Württemberg,08119,Rems-Murr-Kreis,3425,8.1,5349,19297,57184,44099,33512,43316,54038,25725
