_id,id,ags2,bundesland,ags5,kreis,kr_pkw_dichte,kr_mob_weg_2017,kr_mob_km_2017,kr_mob_ah_2017,kr_mob_fuss_2017,kr_mob_rad_2017,kr_mob_mivmf_2017,kr_mob_mivf_2017,kr_mob_oev_2017,kr_mob_oevw_2017,kr_mob_idx_2017,kr_mob_weg_f2020,kr_mob_weg_h2020,kr_mob_km_f2020,kr_mob_km_h2020,kr_mob_ah_f2020,kr_mob_ah_h2020,kr_mob_idx_f2020,kr_mob_idx_h2020,kr_mob_oev_f2020,kr_mob_oev_h2020,kr_mob_oevw_f2020,kr_mob_oevw_h2020
56,56,03,Niedersachsen,03457,Leer,564,3.06185,38.6118,84.8,18.0,15.4,15.1,44.9,6.6,202.0821,66.835707851,2.143295,2.2963875,34.75062,30.88944,80.56,76.32,40.001171149,36.091282239,3.96,4.62,84.874482,106.0931025
57,57,03,Niedersachsen,03458,Oldenburg,587,3.19924,41.2,85.7,17.8,13.8,13.7,46.2,8.5,271.9354,75.306697077,2.239468,2.39943,37.08,32.96,81.415,77.13,45.071058201,40.665616422,5.1,5.95,114.212868,142.766085
58,58,03,Niedersachsen,03459,Osnabrück,592,3.25126,40.8672,86.4,17.9,9.7,14.7,51.5,6.3,204.82938,76.533058179,2.275882,2.438445,36.78048,32.69376,82.08,77.76,45.80503532,41.327851417,3.78,4.41,86.0283396,107.5354245
59,59,03,Niedersachsen,03460,Vechta,548,3.23813,40.9916,85.9,18.6,14.5,14.9,44.8,7.2,233.14536,76.013556946,2.266691,2.4285975,36.89244,32.79328,81.605,77.31,45.494113832,41.047320751,4.32,5.04,97.9210512,122.401314
60,60,03,Niedersachsen,03461,Wesermarsch,563,3.17401,38.6596,85.0,17.5,12.1,13.4,48.0,9.0,285.6609,69.533375631,2.3805075,2.539208,30.92768,28.9947,76.5,80.75,37.548022841,39.63402411,6.3,7.2,149.9719725,182.822976
61,61,03,Niedersachsen,03462,Wittmund,594,3.05863,38.8475,83.8,20.1,9.5,15.3,47.5,7.6,232.45588,66.380845359,2.2939725,2.446904,31.078,29.135625,75.42,79.61,35.845656494,37.837081855,5.32,6.08,122.039337,148.7717632
62,62,04,Bremen,04011,Bremen,368,3.24415,35.3114,86.1,24.7,22.0,11.0,28.3,13.9,450.93685,65.75484455,2.270905,2.59532,28.24912,21.18684,81.795,77.49,34.981577301,28.406092846,5.56,9.035,126.262318,234.487162
63,63,04,Bremen,04012,Bremerhaven,394,3.19191,34.4661,85.6,23.0,14.1,14.1,38.5,10.3,328.76673,62.780574666,2.234337,2.553528,27.57288,20.67966,81.32,77.04,33.399265722,27.121208256,4.12,6.695,92.0546844,170.9586996
64,64,05,Nordrhein-Westfalen,05111,Düsseldorf,371,3.20909,40.6097,86.0,27.5,13.5,11.1,31.0,16.9,542.33621,74.716904446,2.246363,2.567272,32.48776,24.36582,81.7,77.4,39.749393165,32.277702721,6.76,10.985,151.8541388,282.0148292
65,65,05,Nordrhein-Westfalen,05112,Duisburg,424,2.93293,34.5589,83.7,23.6,11.2,15.5,38.5,11.1,325.55523,56.558229694,2.053051,2.346344,27.64712,20.73534,79.515,75.33,30.088978197,24.433155228,4.44,7.215,91.1554644,169.2887196
66,66,05,Nordrhein-Westfalen,05113,Essen,431,3.1673,32.5589,84.0,28.6,7.0,12.3,40.2,11.8,373.7414,57.749330223,2.21711,2.53384,26.04712,19.53534,79.8,75.6,30.722643679,24.947710656,4.72,7.67,104.647592,194.345528
67,67,05,Nordrhein-Westfalen,05114,Krefeld,467,3.21192,38.4506,84.6,22.9,16.0,12.7,38.6,9.9,317.98008,69.65414165,2.248344,2.569536,30.76048,23.07036,80.37,76.14,37.056003358,30.090589193,3.96,6.435,89.0344224,165.3496416
68,68,05,Nordrhein-Westfalen,05116,Mönchengladbach,474,3.10384,37.0874,84.7,23.8,10.8,12.8,40.3,12.3,381.77232,65.000674805,2.172688,2.483072,29.66992,22.25244,80.465,76.23,34.580358996,28.080291516,4.92,7.995,106.8962496,198.5216064
69,69,05,Nordrhein-Westfalen,05117,Mülheim an der Ruhr,493,3.07439,38.3772,84.7,25.1,6.6,13.7,43.2,11.4,350.48046,66.623032321,2.152073,2.459512,30.70176,23.02632,80.465,76.23,35.443453195,28.781149963,4.56,7.41,98.1345288,182.2498392
70,70,05,Nordrhein-Westfalen,05119,Oberhausen,486,3.07944,37.4133,83.1,20.5,9.9,14.4,44.1,11.1,341.81784,63.827454954,2.155608,2.463552,29.93064,22.44798,78.945,74.79,33.956206035,27.57346054,4.44,7.215,95.7089952,177.7452768
71,71,05,Nordrhein-Westfalen,05120,Remscheid,493,2.99501,37.5169,82.1,24.4,5.5,14.3,43.8,12.0,359.4012,61.500283893,2.096507,2.396008,30.01352,22.51014,77.995,73.89,32.718151031,26.568122642,4.8,7.8,100.632336,186.888624
72,72,05,Nordrhein-Westfalen,05122,Solingen,512,3.18113,39.5851,86.3,23.1,7.5,13.5,43.9,12.1,384.91673,72.449050885,2.226791,2.544904,31.66808,23.75106,81.985,77.67,38.542895071,31.297989982,4.84,7.865,107.7766844,200.1566996
73,73,05,Nordrhein-Westfalen,05124,Wuppertal,431,3.12804,36.1531,84.7,23.4,5.7,15.0,40.3,15.6,487.97424,63.857217638,2.189628,2.502432,28.92248,21.69186,80.465,76.23,33.972039783,27.58631802,6.24,10.14,136.6327872,253.7466048
74,74,05,Nordrhein-Westfalen,05154,Kleve,570,3.18789,38.9522,84.0,16.0,16.0,14.8,46.7,6.5,207.21285,69.53818416,2.3909175,2.550312,29.21415,27.26654,79.8,75.6,37.159467161,35.047244817,3.25,4.55,77.70481875,116.039196
75,75,05,Nordrhein-Westfalen,05158,Mettmann,531,3.121,41.2585,84.4,24.7,8.6,14.3,44.1,8.3,259.043,72.453336703,2.34075,2.4968,30.943875,28.88095,80.18,75.96,38.7172518,36.516481698,4.15,5.81,97.141125,145.06408
76,76,05,Nordrhein-Westfalen,05162,Rhein-Kreis Neuss,538,3.0741,39.0365,86.0,24.1,12.7,13.9,40.3,9.0,276.669,68.801206666,2.305575,2.45928,29.277375,27.32555,81.7,77.4,36.765644812,34.67580816,4.5,6.3,103.750875,154.93464
77,77,05,Nordrhein-Westfalen,05166,Viersen,572,3.03706,39.1154,83.0,22.5,12.4,13.1,42.4,9.5,288.5207,65.733685254,2.277795,2.429648,29.33655,27.38078,78.85,74.7,35.126438058,33.129777368,4.75,6.65,108.1952625,161.571592
78,78,05,Nordrhein-Westfalen,05170,Wesel,576,3.07978,38.1239,85.5,20.5,13.7,13.1,44.9,7.8,240.22284,66.925538103,2.309835,2.463824,28.592925,26.68673,81.225,76.95,35.763334424,33.730471204,3.9,5.46,90.083565,134.5247904
79,79,05,Nordrhein-Westfalen,05314,Bonn,407,3.23246,38.764,87.2,25.4,15.3,12.3,32.2,14.8,478.40408,72.842856848,2.262722,2.585968,31.0112,23.2584,82.84,78.48,38.752399843,31.468114158,5.92,9.62,133.9531424,248.7701216
