_id,ags2,bundesland,ags5,kreis,kr_schuel,kr_schuel_vor,kr_schuel_grund,kr_schuel_haupt,kr_schuel_real,kr_schuel_gym,kr_schuel_waldorf,kr_schuel_geschul,kr_schuel_abend,kr_schuel_sonder,kr_schuel_orient,kr_schuel_mult,kr_schueler,kr_student,kr_azubi
110,05,Nordrhein-Westfalen,05954,Ennepe-Ruhr-Kreis,31493,-99,10476,895,3560,8458,747,4787,-99,1123,-99,1447,32486,12768,6329
111,05,Nordrhein-Westfalen,05958,Hochsauerlandkreis,27369,-99,8687,1942,3791,7504,-99,-99,235,1308,-99,3902,29216,76,9585
112,05,Nordrhein-Westfalen,05962,Märkischer Kreis,43631,-99,14379,1505,6149,10561,400,7684,-99,1721,-99,1232,44723,13178,11934
113,05,Nordrhein-Westfalen,05966,Olpe,15682,62,4902,81,1323,4502,-99,1300,192,926,-99,2394,16528,410,3238
114,05,Nordrhein-Westfalen,05970,Siegen-Wittgenstein,29910,-99,9657,1349,4064,7996,327,4039,355,866,-99,1257,30101,17057,9888
115,05,Nordrhein-Westfalen,05974,Soest,34606,56,10565,636,2968,10348,263,2985,628,1880,-99,4277,35439,396,8932
116,05,Nordrhein-Westfalen,05978,Unna,42080,-99,13535,1684,4493,10474,-99,8988,159,1290,-99,1457,44519,2718,9637
117,06,Hessen,06411,Kreisfreie Stadt Darmstadt,18634,78,5259,336,1091,8102,645,2089,305,571,158,-99,18541,30624,12203
118,06,Hessen,06412,Kreisfreie Stadt Frankfurt am Main,72295,462,26425,1928,6123,22673,900,10118,1060,2339,267,-99,67020,56517,27355
119,06,Hessen,06413,Kreisfreie Stadt Offenbach am Main,14412,144,5022,388,570,3965,-99,3084,171,648,420,-99,13477,3489,4792
120,06,Hessen,06414,Landeshauptstadt Wiesbaden,31140,200,10881,506,2593,9519,434,5255,431,1160,-99,161,30150,24703,10611
121,06,Hessen,06431,Bergstraße,25853,127,9377,1565,4336,8501,-99,850,187,618,14,278,26780,1612,4375
122,06,Hessen,06432,Darmstadt-Dieburg,29163,170,10443,1122,2221,8838,-99,3235,-99,1234,1362,538,28487,7402,1636
123,06,Hessen,06433,Groß-Gerau,27740,209,10472,472,880,6911,-99,7286,-99,839,671,-99,26081,6158,5634
124,06,Hessen,06434,Hochtaunus,27258,87,9350,705,2369,10989,328,2198,-99,463,769,-99,27091,2230,4898
