_id,id,ags2,bundesland,ags5,kreis,kr_hh,kr_hh_1p,kr_hh_2p,kr_hh_3p,kr_hh_4p,kr_hh_5p,kr_hh_kind,kr_hh_k_00u03,kr_hh_k_03u06,kr_hh_k_06u10,kr_hh_k_10u15,kr_hh_k_15u18,kr_hh_dinks
118,118,06,Hessen,06412,Kreisfreie Stadt Frankfurt am Main,399943,201331,96523,45444,39372,11522,99095,19695,17357,21266,24830,13425,35308
119,119,06,Hessen,06413,Kreisfreie Stadt Offenbach am Main,67552,33483,16730,8782,6103,2080,17230,3228,2885,3647,4521,2542,6226
120,120,06,Hessen,06414,Landeshauptstadt Wiesbaden,148430,71886,43095,16974,12974,3427,35453,6522,5881,7428,9544,5416,15131
121,121,06,Hessen,06431,Bergstraße,131441,42975,55536,17937,12671,2144,31563,5179,5164,6703,8065,5162,17490
122,122,06,Hessen,06432,Darmstadt-Dieburg,139653,41390,60280,19398,15569,2936,37753,6243,6231,8129,9826,6087,19566
123,123,06,Hessen,06433,Groß-Gerau,130239,44335,49014,18315,14908,3401,36063,6287,5994,7592,9429,5622,16547
124,124,06,Hessen,06434,Hochtaunus,112735,36890,44174,17713,11281,2522,30845,4429,4842,6759,8835,4974,14060
125,125,06,Hessen,06435,Main-Kinzig,197255,61727,79989,29648,21315,4496,54103,8759,8605,11264,14693,8518,25639
126,126,06,Hessen,06436,Main-Taunus,115967,40344,45480,15634,11716,2404,29694,4785,4815,6485,8259,4788,14815
127,127,06,Hessen,06437,Odenwaldkreis,45447,12189,21158,7008,4314,778,11121,1687,1703,2337,3042,1772,6106
128,128,06,Hessen,06438,Offenbach,170722,62170,61240,23373,19142,4325,45864,7800,7299,9630,12629,7059,20529
129,129,06,Hessen,06439,Rheingau-Taunus,93572,31635,40123,12702,7553,1299,21281,3227,3300,4491,5836,3559,12231
130,130,06,Hessen,06440,Wetterau,143573,43435,58624,23355,14859,3152,40303,6169,6323,8593,11018,6362,18809
131,131,06,Hessen,06531,Gießen,134383,48335,52148,17729,12480,2279,31635,5487,5048,6562,8022,4885,16079
